timestamps,TP9,AF7,AF8,TP10
1623120416.980,-805.664,-37.598,-61.035,-838.379
1623120416.984,657.227,-3.906,26.367,504.395
1623120416.987,942.871,-9.766,19.043,911.621
1623120416.991,-435.547,-36.621,-68.359,-364.258
1623120416.995,-1000.000,-36.621,-80.566,-1000.000
1623120416.999,172.852,-6.348,8.789,116.699
1623120417.003,-847.168,0.000,31.738,-939.941
1623120417.007,0.488,-31.738,-62.012,36.621
1623120417.011,-1000.000,-43.457,-107.422,-1000.000
1623120417.014,-209.961,-21.484,-23.438,-296.875
1623120417.018,-823.730,-9.277,32.715,-993.164
1623120417.022,325.684,-25.879,-27.832,447.754
1623120417.026,-1000.000,-41.016,-87.891,-946.289
1623120417.030,-526.855,-26.367,-45.410,-633.789
1623120417.032,980.469,-7.812,30.762,763.184
1623120417.036,668.457,-20.020,-1.465,732.422
1623120417.040,-823.242,-39.551,-87.402,-641.602
1623120417.044,-882.324,-34.668,-62.988,-885.742
1623120417.048,545.898,-14.160,27.344,426.270
1623120417.052,-995.605,-16.113,23.926,954.102
1623120417.056,-323.730,-37.109,-58.105,-281.738
1623120417.059,-1000.000,-43.945,-82.520,-1000.000
1623120417.063,71.777,-26.367,-10.254,40.527
1623120417.067,-823.730,-14.648,38.086,-938.477
1623120417.071,82.031,-31.738,-24.414,110.840
1623120417.075,-1000.000,-42.969,-90.332,-1000.000
1623120417.077,-274.902,-20.508,-26.855,-364.258
1623120417.081,-844.238,0.488,49.316,961.426
1623120417.085,407.227,-12.695,-0.977,510.742
1623120417.089,-1000.000,-41.504,-88.867,-890.625
1623120417.093,-581.543,-35.156,-52.734,-679.688
1623120417.097,935.547,-13.184,30.762,718.750
1623120417.101,744.629,-20.020,-2.441,776.855
1623120417.104,-721.680,-47.852,-93.262,-569.336
1623120417.108,-955.078,-51.758,-79.102,-943.359
1623120417.112,435.547,-17.090,24.414,327.148
1623120417.116,-944.336,-13.184,25.879,982.422
1623120417.120,-225.586,-42.480,-74.707,-210.449
1623120417.122,-1000.000,-44.434,-102.539,-1000.000
1623120417.126,-12.695,-20.020,-12.207,-59.570
1623120417.130,-810.059,-13.184,32.227,-927.734
1623120417.134,156.738,-34.180,-27.832,208.496
1623120417.138,-1000.000,-46.387,-82.520,-1000.000
1623120417.142,-346.191,-33.203,-33.203,-408.691
1623120417.146,-875.000,-12.207,39.551,891.113
1623120417.149,466.797,-20.508,-7.324,573.730
1623120417.153,-1000.000,-42.969,-82.520,-826.172
1623120417.157,-677.246,-34.668,-45.410,-755.371
1623120417.161,814.941,-10.742,31.250,621.582
1623120417.165,828.613,-13.184,8.301,830.566
1623120417.166,-611.816,-37.598,-75.195,-499.512
1623120417.170,-1000.000,-38.086,-70.801,-981.934
1623120417.174,331.543,-19.531,11.230,256.836
1623120417.178,-900.391,-17.090,25.391,-979.980
1623120417.182,-131.836,-36.621,-54.688,-117.188
1623120417.186,-1000.000,-48.828,-90.332,-1000.000
1623120417.190,-95.703,-31.738,-12.207,-149.902
1623120417.193,-808.594,-20.020,45.898,-946.289
1623120417.197,224.609,-33.691,-11.719,310.059
1623120417.201,-1000.000,-48.828,-84.961,-1000.000
1623120417.205,-415.039,-35.156,-38.574,-518.066
1623120417.209,-923.340,-12.207,40.527,860.840
1623120417.212,552.246,-25.879,-2.441,639.648
1623120417.216,-958.984,-45.410,-84.961,-750.000
1623120417.220,-750.000,-32.227,-52.246,-806.152
1623120417.224,726.562,-10.254,36.133,550.781
1623120417.228,905.762,-14.648,20.020,884.277
1623120417.232,-492.676,-44.434,-82.031,-415.527
1623120417.236,-1000.000,-53.711,-93.750,-1000.000
1623120417.239,226.074,-21.484,3.418,180.176
1623120417.243,-859.375,0.488,46.875,-944.824
1623120417.247,-36.621,-23.926,-46.875,-9.766
1623120417.251,-1000.000,-41.992,-96.191,-1000.000
1623120417.255,-167.969,-20.996,-12.695,-250.000
1623120417.257,-814.453,-1.953,42.969,-980.469
1623120417.261,288.086,-26.855,-30.762,384.766
1623120417.265,-1000.000,-54.688,-105.957,-987.305
1623120417.269,-484.863,-38.574,-52.246,-602.539
1623120417.273,-981.934,-13.184,23.438,789.551
1623120417.277,629.883,-22.461,-13.672,698.242
1623120417.281,-872.559,-40.039,-92.285,-680.176
1623120417.284,-829.590,-28.809,-66.895,-862.793
1623120417.288,623.047,-10.254,19.531,466.797
1623120417.292,964.844,-13.672,15.137,929.199
1623120417.296,-390.625,-39.551,-69.336,-329.102
1623120417.300,-1000.000,-44.922,-84.473,-1000.000
1623120417.316,124.023,-23.438,-13.672,70.801
1623120417.320,-838.379,-10.742,20.020,-934.082
1623120417.324,30.762,-35.156,-53.711,75.195
1623120417.328,-1000.000,-53.223,-98.633,-1000.000
1623120417.332,-236.816,-28.320,-23.926,-328.125
1623120417.336,-830.566,-6.348,33.203,990.723
1623120417.340,355.957,-26.367,-29.785,463.867
1623120417.343,-1000.000,-51.758,-95.215,-928.223
1623120417.347,-556.641,-37.109,-48.340,-652.344
1623120417.351,949.219,-13.672,32.715,739.746
1623120417.355,702.148,-20.020,9.766,746.582
1623120417.359,-780.273,-41.504,-79.102,-619.141
1623120417.361,-913.574,-35.156,-74.707,-905.762
1623120417.365,499.512,-9.766,12.207,396.484
1623120417.369,-974.609,-5.859,23.438,963.379
1623120417.373,-283.203,-27.344,-60.547,-250.977
1623120417.377,-1000.000,-33.691,-83.984,-1000.000
1623120417.381,36.621,-13.672,-3.418,-15.137
1623120417.385,-817.871,0.488,41.504,-936.035
1623120417.388,109.863,-18.066,-30.273,162.598
1623120417.392,-1000.000,-41.992,-95.703,-1000.000
1623120417.396,-308.594,-25.879,-37.598,-418.457
1623120417.400,-855.957,6.348,39.551,940.430
1623120417.404,428.223,-4.883,-15.625,516.113
1623120417.406,-1000.000,-36.621,-101.562,-891.602
1623120417.410,-630.371,-24.414,-57.129,-720.703
1623120417.414,868.164,4.395,28.320,656.738
1623120417.418,788.574,-4.395,8.789,808.594
1623120417.422,-687.988,-36.621,-77.637,-557.129
1623120417.426,-938.477,-41.016,-72.266,-910.156
1623120417.430,459.473,-17.090,17.578,379.395
1623120417.433,-934.570,-16.113,24.902,991.211
1623120417.437,-186.035,-45.410,-69.336,-170.410
1623120417.441,-1000.000,-54.199,-97.656,-1000.000
1623120417.445,-43.945,-20.508,-1.465,-104.004
1623120417.449,-808.594,-4.883,41.504,-947.266
1623120417.451,183.594,-26.367,-32.715,252.930
1623120417.455,-1000.000,-40.039,-85.449,-1000.000
1623120417.459,-366.211,-24.414,-24.902,-498.047
1623120417.463,-887.207,-13.184,39.062,882.324
1623120417.467,494.629,-30.762,-8.789,581.055
1623120417.471,-1000.000,-54.688,-90.820,-822.266
1623120417.475,-708.008,-43.457,-54.199,-778.320
1623120417.478,780.273,-22.461,30.762,591.309
1623120417.482,849.121,-31.738,6.836,842.285
1623120417.486,-579.102,-53.711,-75.195,-478.516
1623120417.490,-1000.000,-55.176,-83.984,-999.023
1623120417.494,283.691,-27.832,7.324,218.262
1623120417.497,-886.230,-19.043,36.133,-972.656
1623120417.501,-97.656,-35.156,-53.223,-89.355
1623120417.505,-1000.000,-39.062,-90.820,-1000.000
1623120417.509,-122.559,-13.672,-7.324,-177.734
1623120417.513,-810.547,3.906,42.969,989.258
1623120417.517,250.488,-22.949,-34.180,266.113
1623120417.521,-1000.000,-42.480,-99.121,-1000.000
1623120417.524,-439.453,-31.250,-55.664,-563.477
1623120417.528,-942.871,-15.137,25.391,827.637
1623120417.532,585.938,-15.137,11.230,659.180
1623120417.536,-920.898,-39.551,-82.520,-728.027
1623120417.540,-786.133,-40.039,-69.336,-830.566
1623120417.542,682.129,-14.648,21.484,511.719
1623120417.546,929.199,-11.719,20.996,897.461
1623120417.550,-452.148,-38.086,-69.336,-382.812
1623120417.554,-1000.000,-46.875,-88.379,-1000.000
1623120417.558,184.570,-17.578,-1.465,139.648
1623120417.562,-853.516,-10.254,23.438,-946.777
1623120417.566,-16.602,-38.086,-61.035,5.371
1623120417.569,-1000.000,-46.875,-92.773,-1000.000
1623120417.573,-200.684,-23.438,-7.324,-285.645
1623120417.577,-822.266,-9.766,45.410,998.535
1623120417.581,312.012,-24.902,-18.555,412.109
1623120417.585,-1000.000,-41.992,-90.820,-963.379
1623120417.586,-512.695,-29.785,-43.945,-625.000
1623120417.590,994.141,-7.812,37.109,764.648
1623120417.594,650.879,-18.066,3.906,717.285
1623120417.598,-845.215,-43.945,-79.590,-661.621
1623120417.602,-861.328,-36.133,-55.664,-875.000
1623120417.606,580.078,-10.742,25.879,447.266
1623120417.610,979.980,-16.602,12.695,941.895
1623120417.613,-365.723,-40.527,-69.824,-302.734
