timestamps,TP9,AF7,AF8,TP10
1623120655.784,-649.902,-50.781,-143.555,-498.047
1623120655.786,-130.371,-30.273,-29.297,-137.695
1623120655.790,577.148,-1.953,85.449,402.344
1623120655.794,200.195,-22.461,-15.625,144.531
1623120655.798,-585.449,-53.223,-150.879,-446.777
1623120655.802,-351.074,-37.598,-63.965,-294.434
1623120655.806,470.703,-1.953,68.359,314.941
1623120655.810,399.902,-5.859,27.344,285.156
1623120655.813,-441.406,-43.457,-120.117,-333.984
1623120655.817,-531.738,-45.410,-115.723,-424.805
1623120655.821,284.180,-11.230,52.246,169.434
1623120655.825,544.922,-10.254,68.848,391.602
1623120655.829,-218.262,-32.715,-87.891,-160.156
1623120655.831,-617.188,-42.480,-122.070,-484.863
1623120655.835,82.031,-22.461,14.648,8.789
1623120655.839,613.770,-8.301,72.754,432.129
1623120655.843,30.762,-30.762,-37.109,30.273
1623120655.847,-631.348,-46.387,-130.859,-476.562
1623120655.851,-175.293,-24.902,-43.457,-158.691
1623120655.855,573.242,-2.441,70.801,408.203
1623120655.858,257.324,-21.973,-20.020,196.777
1623120655.862,-561.035,-46.875,-140.625,-416.992
1623120655.866,-395.020,-33.203,-72.266,-325.195
1623120655.870,437.500,-6.836,51.270,294.922
1623120655.874,437.012,-18.066,12.207,327.637
1623120655.891,-391.602,-42.969,-118.164,-272.461
1623120655.895,-551.758,-43.457,-100.586,-413.086
1623120655.899,236.816,-23.438,35.156,158.691
1623120655.903,558.105,-8.301,63.965,425.293
1623120655.907,-172.852,-34.180,-69.336,-107.910
1623120655.911,-631.836,-49.316,-139.160,-486.816
1623120655.915,1.465,-24.902,-25.391,-27.344
1623120655.918,577.637,-12.695,57.617,432.129
1623120655.922,67.383,-26.367,-30.273,59.082
1623120655.926,-624.023,-41.504,-122.070,-475.098
1623120655.930,-232.910,-27.832,-37.598,-205.566
1623120655.934,570.312,-0.977,89.844,411.133
1623120655.936,222.168,-17.090,-0.977,172.852
1623120655.940,-406.250,-44.922,-115.723,-305.176
1623120655.944,-166.504,-35.156,-64.941,-114.258
1623120655.948,-511.719,-48.340,-125.488,-376.953
1623120655.952,-297.852,-36.133,-49.316,-244.141
1623120655.956,537.109,-8.789,86.914,389.648
1623120655.960,320.312,-23.438,16.602,253.418
1623120655.963,-490.234,-49.805,-129.395,-355.957
1623120655.967,-428.223,-34.668,-82.031,-336.914
